2092.12,3589.31
2078.38,3572.12
2141.39,3578.44
3475.79,3677.99
3516.19,3682.02
2072.09,3563.57
2077.94,3564.45
2085.5,3565.81
2140.74,3571.27
2154.3,3572.74
2160.87,3572.65
3066.41,3642.08
3209.01,3651.82
3223.26,3652.75
3277.08,3657.17
3309.86,3659.65
3323.83,3660.36
3330.98,3661
3338.38,3661.55
3378.49,3664.75
3399.49,3666.47
3435.38,3668.37
3497.03,3673.27
3503.44,3673.56
3509.81,3674.44
3559.23,3678.04
2064.65,3555.49
2078.17,3557.4
2083.97,3557.64
2103.04,3560.51
2108.64,3560.87
2114.44,3561.81
2120.48,3562.46
2127.2,3563.3
2133.39,3563.84
2140,3564.49
2153.22,3565.66
2159.75,3566.24
2182.57,3568.72
3059.38,3633.7
3066.11,3634.37
3080.55,3635.24
3087.75,3635.74
3094.8,3636.35
3101.36,3637.05
3201.48,3643.75
3208.7,3644.64
3216.22,3645.26
3223.09,3645.52
3248.41,3647.19
3255.39,3647.89
3276.65,3649.86
3297.59,3651.15
3303.68,3651.64
3309.82,3652.15
3316.73,3652.89
3323.59,3653.06
3331.2,3653.51
3338.3,3654.39
3372.3,3657.06
3378.31,3657.11
3384.74,3657.91
3391.98,3658.55
3413.87,3660.11
3421.54,3660.51
3429.26,3661.66
3435.62,3661.7
3441.38,3662.19
3447.1,3662.43
3453.51,3662.43
3468.04,3663.38
3475.17,3664.9
3489.39,3665.75
3496.8,3666.48
3503.41,3666.93
3509.57,3667.15
3537.26,3668.9
3544.17,3669.69
3551.79,3670.36
3558.95,3670.88
3591.38,3673.57
3598.85,3673.61
3606.25,3674.47
3613.54,3675.01
3621.06,3675.63
3628.79,3676.23
3635.91,3676.93
3713.49,3683.08
3904.29,3709.91
2062.97,3549.55
2076.55,3551.54
2082.91,3552.29
2089.75,3553.53
2101.5,3554.85
2107.26,3554.97
2124.83,3557.05
2132.17,3558.02
2138.71,3558.87
2145.15,3559.18
2151.55,3560.06
2157.98,3560.45
2164.16,3561.63
2169.43,3562.19
2175.08,3562.12
2181.04,3563.08
2189.35,3563.4
3043.13,3624.94
3051.22,3625.68
3058.93,3626.15
3066.1,3626.91
3073.3,3627.38
3080.73,3627.93
3087.59,3628.47
3094.11,3629.27
3101.22,3629.71
3108.6,3630.01
3183.48,3635.2
3193.22,3636.13
3201.38,3636.42
3208.72,3637.4
3215.98,3637.88
3223.06,3638.31
